path	sentence
common_voice_ky_17443475.mp3	Азаматсың, сени менен сыймыктанам.
common_voice_ky_17443476.mp3	Мен эскертме беришим керек болчу, — деген ал.
common_voice_ky_17443477.mp3	Түзүүчүсү — Дементев Владимир Васильевич.
common_voice_ky_17443478.mp3	Биздин балдарыбыз, өзүбүз да ооруп атабыз.
common_voice_ky_17443479.mp3	Трактордун калган бөлүктөрү ата мекендик заводдордон алынат.
common_voice_ky_17443480.mp3	Алар соттордун бардык деңгээлине тийиштүү, — деп билдирди ал.
common_voice_ky_17443481.mp3	Мен токтоп коюшун айтып ыйладым, кыйкырдым, жалындым.
common_voice_ky_17443483.mp3	Айрым серепчилер жаштардын көйгөйлөрүн жакшы түшүнүшөт.
common_voice_ky_17443484.mp3	Бирок бул цитата басма сөз жыйынынын жазмаларында жок.
common_voice_ky_17454331.mp3	Сен мени бүтүндөй гезитке чыгарып оскорблять этип атасың, блядь.
common_voice_ky_17454332.mp3	Кошуналары тез жардам чакыртышкан.
common_voice_ky_17454333.mp3	Эртеңден баштап ал иштей баштайт, – деп билдирди Эржигитов.
common_voice_ky_17454334.mp3	Алып келген балдардын баарын тааныйм.
common_voice_ky_17454335.mp3	Эми материалдар менен таанышабыз, — деген ал.
common_voice_ky_17457026.mp3	Мыйзам долбоору коомдук талкууга чыкты.
common_voice_ky_17457027.mp3	Ал эми машинабызга чыккан да өзүнчө кызык.
common_voice_ky_17457029.mp3	Орусия бийлиги бир канча ирет Кыргызстандын ири карыздарын кечкен.
common_voice_ky_17506580.mp3	Сайдуллаев көчөсүндө да көп киши болгон.
common_voice_ky_17506582.mp3	Бул суу сактагыч курч кырдаалга эч кандай тиешеси жок.
common_voice_ky_17506583.mp3	Жетекчилиги жана бир топ кызматкерлери кетип жатат.
common_voice_ky_17567109.mp3	Ошентип Улуупамир айылы пайда болгон.
common_voice_ky_17567110.mp3	Анда менин туугандарым көп, чакырып жатышат.
common_voice_ky_17567111.mp3	Уулануунун себептери изилденип, иликтөө жүргүзүлүп жатат.
common_voice_ky_17567112.mp3	Бул маселени биз жыл сайын сынга алып, талкуулап келебиз.
common_voice_ky_17567113.mp3	Ошондуктан кордондун ичиндеги суу эң баалуу зат.
common_voice_ky_17567114.mp3	Клооп редакциясы болгон иш чараны чагылдырууга аракет кылды.
common_voice_ky_17567115.mp3	Андан сырткары мал бакканга шарттар жок.
common_voice_ky_17567116.mp3	Бул жерде өткөн ар бир күндүн өзү жеңиш.
common_voice_ky_17567117.mp3	Ал мени урушуп, уруп, сөккөн учурлар да болгон, — деди ал.
common_voice_ky_17567118.mp3	Адамдын субъективдүү мамилесин аныктоо өтө кыйын болот.
common_voice_ky_17567119.mp3	Ал болсо ага акча керек эмес экенин айтып, мага Өзүңдү бас деди.
common_voice_ky_17567120.mp3	Ансамблдеги биринчи эле айда эки дептерди ырга толтуруп чыктым.
common_voice_ky_17567121.mp3	Канатбек Исаев Кыргызстан фракциясынынлидери болчу.
common_voice_ky_17567122.mp3	Юрист кайсы маалыматтык базаны бузугандыктарын так айткан жок.
common_voice_ky_17567125.mp3	Активисттер ушул отургучтар менен эле чектелип калууну каалабайт.
common_voice_ky_17567126.mp3	Өрттүн келип чыгуу себептери такталууда.
common_voice_ky_17567127.mp3	Азырынча сайттын иши качан калыбына келтирилери белгисиз.
common_voice_ky_17567130.mp3	Жүргүнчүлөрдөн кийин автоунаалар да бошотулган.
common_voice_ky_17567131.mp3	Убактылуу калыбына келтирүү иштерин биз жүргүздүк.
common_voice_ky_17567132.mp3	Алар чыкса түрктөр тарабынан кысымга алынары белгилүү эле.
common_voice_ky_17567133.mp3	Компания мотор майларын алып келүү менен алектенет.
common_voice_ky_17567135.mp3	Ал ККБ экология кызматына кат жөнөткөнүн кошумчалады.
common_voice_ky_17567136.mp3	Алар убактысын кандайдыр бюрократиялык иштерге жумшагысы келбейт.
common_voice_ky_17567139.mp3	Мен бул жакта мындан ары жашайын деген ниетим жок.
common_voice_ky_17567140.mp3	Аларды башкалар асырап алып, камкордук көрүүсүнө каршы болгон.
common_voice_ky_17567141.mp3	Полиция жол кырсыгы боюнча текшерүү жүргүзүп жатат.
common_voice_ky_17567142.mp3	Аны чабуулчу Тимо Вернер ишке ашырды.
common_voice_ky_17567143.mp3	Учурда бардыгы тең бирдей президенттикке талапкер.
common_voice_ky_17567145.mp3	БУУнун Адам укуктары боюнча комитетине арыз жазылат.
common_voice_ky_17567146.mp3	Ал бул айыптоону саясий мүнөздүү деп атаган.
common_voice_ky_17567147.mp3	Башка окуучулар машинадан ары секирип кетүүгө үлгүрүшкөн.
common_voice_ky_17567149.mp3	Демек аны алып койсо ал чыйпылдабай калат.
common_voice_ky_17567150.mp3	Көңүл бурбагандыктан, Жогорку кеңешке кайрылдык.
common_voice_ky_17567151.mp3	Джиптер — чынында эле алар жол тандабаган автоунаалар эмеспи.
common_voice_ky_17567152.mp3	Ал мага биринчи тийди.
common_voice_ky_17567153.mp3	жаңы акция чыгарууга каршы болду.
common_voice_ky_17567159.mp3	Эми биз башкача чара көрөбүз, — деди Султанкулов.
common_voice_ky_17567161.mp3	Үч адамды кар ширендисинин алдынан куткарып калууга жетишишкен.
common_voice_ky_17567162.mp3	Никенин бирден бир максаты — бул тукумду сактап калуу.
common_voice_ky_17567163.mp3	Бул туурасында өлкө башчысынын басма сөз кызматы билдирди.
common_voice_ky_17567165.mp3	Анткени Азия футбол конфедерациясы матчты жылдырууну сунуштады.
common_voice_ky_17567166.mp3	Сүрөттөрдү көрүп олтурсаң таң каласың.
common_voice_ky_17567168.mp3	Аскаровдун камералашы камерада Аскаровду сабап салганын айткан.
common_voice_ky_17567169.mp3	Конституция боюнча баары туура.
common_voice_ky_17567170.mp3	Бахадур менен байланышууга мүмкүн эмес.
common_voice_ky_17567171.mp3	Эми бардык үмүттөр фонтандын үстүндөгү жалтылдаган тууда калды.
common_voice_ky_17567172.mp3	Анда партиядан шайлоого Сооронбай Жээнбековду чыгарышкан.
common_voice_ky_17567173.mp3	Кырсык болоор алдында ал мас абалында болгон.
common_voice_ky_17567174.mp3	Ошондуктан ал өзүн ушундай көрсөтүп жатат, — деген анда Шевченко.
common_voice_ky_17567178.mp3	Биз принципиалдык түрдө украин товарларын ташыбайбыз.
common_voice_ky_17567179.mp3	Кожоюн штрафтарды төлөө үчүн машинанын ээсин өзү издейт.
common_voice_ky_17567180.mp3	Олимпиада оюндары тууралуу сөз болуп жатат.
common_voice_ky_17567181.mp3	Күзгү коллекция да чакмактар менен толукталган.
common_voice_ky_17567182.mp3	Банк картасы бирден ашык болгону үчүн.
common_voice_ky_17567183.mp3	Түркиядан товар алып келип сатчумун.
common_voice_ky_17567184.mp3	Бирок Аманда Нунес ооруп калып мушташ болгон эмес.
common_voice_ky_17567185.mp3	Мага Маевский дароо эле жаккан эмес, алдамчы көрүндү.
common_voice_ky_17567186.mp3	Оппозициячыл депутаттын бир тууган инисин өлтүрүү — саясий.
common_voice_ky_17567187.mp3	Тергөөчүлөр аны банктык сырды таратууга шектешкен.
common_voice_ky_17567188.mp3	Кытай Кыргызстанга товар ташыган негизги өлкөлөрдүн бири.
common_voice_ky_17567190.mp3	Азыр ошол жакка барып изилдесеңер, баарын өзүңөр түшүнөсүңөр.
common_voice_ky_17567191.mp3	Ассанж Швеция аны АКШга өткөрүп берет деп кооптонууда.
common_voice_ky_17567193.mp3	Зыянды эсептөөнүн акыркы жыйынтыгы аркы жумада даяр болот.
common_voice_ky_17567194.mp3	Операциядан болсо кыргыз Зыкинасы баш тартып койгон.
common_voice_ky_17567195.mp3	Жол кырсыгынан жабыркагандар жок.
common_voice_ky_17567197.mp3	Курулуш шарты өзгөчө чөлкөм — бул шаардын борбору.
common_voice_ky_17567201.mp3	Тез жардамды автобустун айдоочусу өткөрбөй койду.
common_voice_ky_17567203.mp3	Үй жандыктарын жалаң өздөрү үчүн кармашат.
common_voice_ky_17567204.mp3	Мындан тышкары, сот басылманын эсебин камакка алды.
common_voice_ky_17567205.mp3	Алардын арасында бийликчил КСДПдан Сооронбай Жээнбеков да бар.
common_voice_ky_17567206.mp3	Туугандары барак тибиндеги үйдүн жарымын ижарага алып жашашат.
common_voice_ky_17567207.mp3	Же менин теримдин түсү маанилүүбү?
common_voice_ky_17567208.mp3	КСДПнын эл өкүлдөрү Атамбаев менен эмне жөнүндө сүйлөшүштү?
common_voice_ky_17567209.mp3	Натыйжада стадиондун сахнасында КСДПнын талапкери калган.
common_voice_ky_17567211.mp3	Бирок негизги көзүрү – суу помпасы.
common_voice_ky_17567212.mp3	Өзөктүк текшерүүнү Түштүк Корея жана Жапония тастыктады.
common_voice_ky_17567213.mp3	Андрейцев Лондон олимпиада оюндарындагы күмүш байгенин ээси.
common_voice_ky_17567214.mp3	Бир жактуу карабаш керек.
common_voice_ky_17567215.mp3	Жөн эле кылдан кыйкым издеген улутчулдуктун да чеги болуш керек ко.
common_voice_ky_17567217.mp3	Бул тасма мына ушинтип гана тартылды.
common_voice_ky_17567218.mp3	Дагы бир нече каза болгондордун денелери табылды.
common_voice_ky_17567219.mp3	Ошол маалда кыз Жардам бергиле!
common_voice_ky_17567220.mp3	Эмне үчүн бизде жакшы нерсенин баары эле меймандарга арналат?
common_voice_ky_17567221.mp3	Мен деле ушул тармакта иш кылып, мангага өмүрүмдү арнагым келет.
common_voice_ky_17567224.mp3	Буга чейин Осмонов Мамлекеттик салык кызматынын башчысы болчу.
common_voice_ky_17567225.mp3	Биз биринчи түшкөн алты баланы чыгардык.
common_voice_ky_17567226.mp3	Андан соң аракечтердин жашыруун клубу жөнүндө угуп калган.
common_voice_ky_17567227.mp3	Кээ бирлери ал тургай евроремонт кылып жиберишкен.
common_voice_ky_17567228.mp3	Бирок жыйынтык чыгаруу үчүн бул жетиштүү эле.
common_voice_ky_17567234.mp3	Башкы прокуратура менен УКМК токтоосуз чара көрүшү керек эле.
common_voice_ky_17567235.mp3	Алар кылмыш болгон жерден кызды таксиге салып изин суутушкан.
common_voice_ky_17567236.mp3	Эми ал Бишкек шаардык сотуна апелляция берди.
common_voice_ky_17567237.mp3	Ал канал жоюлган, ал жок, — деп айтты Умурканова.
common_voice_ky_17567238.mp3	Ошол чечимдер болгону үчүн аларды үйдөн чыгардык да.
common_voice_ky_19904668.mp3	Каржы полициясына БТА Банктын жетекчилиги кайрылган.
common_voice_ky_19904678.mp3	Азиз алар менен барган.
common_voice_ky_17433952.mp3	Жардыруудан үч адам жабыркап, айдоочу болсо каза болгон.
common_voice_ky_17433953.mp3	Элдин баары эле акча уурдаган.
common_voice_ky_17433960.mp3	Гулира — тогуз жашар өспүрүмүн апасы.
common_voice_ky_17436215.mp3	Бул кесипти ал бир тууган агасына шакирт түшүп үйрөнгөн.
common_voice_ky_17436216.mp3	Бул кошумча чыгым, ал товар баасына таасирин тийгизет, — дейт ал.
common_voice_ky_17436240.mp3	Жыргалбек Турускулов фракциянын жаңы лидери болуп калды.
common_voice_ky_17436241.mp3	Милициянын маалыматына ылайык, кол салгандар үчөө болгон.
common_voice_ky_17436243.mp3	Психологияда Трудотерапия деген термин бар.
common_voice_ky_17436244.mp3	Себеби медициналык кызмат көрсөтүүнүн баасы асманда.
common_voice_ky_17436246.mp3	Ал айрык жинсы шым кийген балдардан эле, — деди ал.
common_voice_ky_17436248.mp3	Бул эки өлкө үчүн пайдалуу, — деп билдирген ал.
common_voice_ky_17436249.mp3	Ханерлер өздөрүнүн жеке рекорддорунан да өтө эле алыс.
common_voice_ky_17436250.mp3	Топоз — Кыргызстанда өндүрүлгөн алгачкы трактор.
common_voice_ky_17436251.mp3	Биз ага ийгиликтерди жана жаңы жетишкендиктерди каалайбыз!
common_voice_ky_17436253.mp3	Бул күнү бардык мечиттерде намаз окулуп, курмандыктар чалынат.
common_voice_ky_17436254.mp3	Мен аларда кайра кайталап бере алам.
common_voice_ky_17436255.mp3	Шадиев үчүн бул иш боюнча УКМКдагы биринчи эле сурак эмес.
common_voice_ky_17436256.mp3	Мен бул маселени бүгүн эле дароо чече албайм.
common_voice_ky_17436257.mp3	Андан кийин мен ал аял кийимчен эркек адам экенин түшүндүм.
common_voice_ky_17436259.mp3	Анын айтымында, алар тергөөгө кысым көрсөтүүгө аракет кылуушуда.
common_voice_ky_17436260.mp3	Мен анын калыстыгына ишенбей турам.
common_voice_ky_17436263.mp3	Бул башкысы, — деген ал.
common_voice_ky_17436264.mp3	Учурда ал адам өлтүрүүгө айыпталууда.
common_voice_ky_17436265.mp3	Мээрим Өзбекстанга саякатын өзү уюштурууну чечкен.
common_voice_ky_17436266.mp3	Мындай жөө жүрүш былтыр дагы өткөрүлгөн.
common_voice_ky_17436267.mp3	Алар өз алдынча көмүр казып жатышып газга улаанышкан.
common_voice_ky_17436268.mp3	Бул саякатчыларды аябай кызыктырат, — деди ишкер Абдукаримов.
common_voice_ky_17436270.mp3	Жалаа жаап, каралап дегендей.
common_voice_ky_17436272.mp3	Депутат өзүнө каршы иш саясий мүнөздүү деп эсептейт.
common_voice_ky_17436273.mp3	Сапардын баасы ар түрдүү, ал багытка жараша болот.
common_voice_ky_17436500.mp3	Биз азыр аларды кайрадан жумушка чыккыла деп көндүрүп жатабыз.
common_voice_ky_17436501.mp3	Боркоев УКМКнын убактылуу тергөө изоляторуна камакка алынды.
common_voice_ky_17436502.mp3	Алар өкүмдү Бишкек шаардык сотунда даттанышат.
common_voice_ky_17436503.mp3	Түндүк менен түштүктү бириктиргенге Атамбаевдин кудурети жетеби?
common_voice_ky_17436506.mp3	Эмне кылышым керек, башка арга жок?
common_voice_ky_17436507.mp3	Бирок парламенттик көпчүлүк да колдоду.
common_voice_ky_17436508.mp3	Жергиликтүү бийлик бул үйлөрдү кабыл алган эмес.
common_voice_ky_17436509.mp3	Учурда журналист убактылуу кармоочу жайда камакта.
common_voice_ky_17436515.mp3	Жаракат алгандар ооруканага жаткырылышкан.
common_voice_ky_17436516.mp3	Турнирдин жыйынтыгы боюнча маалыматты биздин макалада окуңуздар.
common_voice_ky_17436517.mp3	Бул ошол жердин кожоюнунун аты.
common_voice_ky_17436518.mp3	Алардын баары тиешелүү маалыматтар менен толтурулган.
common_voice_ky_17436525.mp3	Жараксыз болуп калган мектепти кайра салыш керек болчу.
common_voice_ky_17436526.mp3	Мен Улан Исраиловду жакшы билем, биз бирге иштегенбиз.
common_voice_ky_17436529.mp3	Ал аларды коррупция боюнча айыптапоого алган.
common_voice_ky_17436535.mp3	Ошентип парламент аңчылыкка тыюу салууну четке какты.
common_voice_ky_17436536.mp3	Кечки саат жетиде ыктыярчылар автобустарга отурушту.
common_voice_ky_17436537.mp3	Бул коомчулукта кайчы пикирлерди жараткан.
common_voice_ky_17436539.mp3	Бирок акыркы учурда интеграция жакшы эле жүрүп жатат.
common_voice_ky_17436545.mp3	Анан жөн эле туруп алып КСДПны күнөөлөй берген жакшы эмес.
common_voice_ky_17436546.mp3	Ош технологиялык университетинин архитектура бөлүмүн аяктагам.
common_voice_ky_17436547.mp3	Толук талдангандан кийин тагыраак айта алабыз.
common_voice_ky_17436548.mp3	Казакстандын элчилигинин алдына онго жакын адам чогулган.
common_voice_ky_17436550.mp3	Жеңиштүү голду Бишкектин клубу стандарттуу киргизишти.
common_voice_ky_17440513.mp3	Эгерде бүгүн мени кызматтан алышса, маселе чечилет.
common_voice_ky_17440518.mp3	Шектүү менен кошо дагы төрт киши камакка алынган.
common_voice_ky_17440520.mp3	Документтерге байланыштуу эмес эле, акчага байланыштуу болчу.
common_voice_ky_17440533.mp3	Бул жакка келгенимде чачым түшүп, ооруп бир жылдай абдан кыйналдым.
common_voice_ky_17440534.mp3	Бирок ал бөлүм үчүн тасмалар абдан катаал тандоодон өтүшөт.
common_voice_ky_17440535.mp3	Ат күнүгө үч маал чөп, бир маал жем жейт.
common_voice_ky_17440536.mp3	Соттун бул аныктамасында менин гана мүлкүм камакка алынды.
common_voice_ky_17440537.mp3	Жээнбеков Өзбекстанды стратегиялык өнөктөш деп атады
common_voice_ky_17440538.mp3	Ал бул машина менен үйдөн өз апасынын уруксаты жок кетип калган.
common_voice_ky_17440541.mp3	Бүгүнкү күндө абалы орто, өзүн жакшы сезүүдө.
common_voice_ky_17440542.mp3	Милиция аларды оңой эле таап алмак, айыл кичинекей эле да.
common_voice_ky_17440544.mp3	Китепте физикалык каталар болгон эмес.
common_voice_ky_17440546.mp3	Бизде да мындай менен алектенген балдардын топтору бар.
common_voice_ky_17440547.mp3	Ошондуктан иним Райымбек Сапар Жумакадыровичти сотко берди.
common_voice_ky_17440548.mp3	Мага демектен бийликтин кекиртегине .
common_voice_ky_17440550.mp3	Алар тигилер милиция менен кызматташышат деп эсептешет.
common_voice_ky_17440551.mp3	Буга карабастан иш козголду, — деди ал.
common_voice_ky_17440552.mp3	Менин оюмча түштүктө экинчиде Төрөбаев эмес Бабанов болот.
common_voice_ky_17440554.mp3	Кыргызстанда Себат түрк лицейлери Сапат деген атка көчтү.
common_voice_ky_17440555.mp3	Кайсы бир жазган макалам Атамбаевге жакпай калыптыр?
common_voice_ky_17440556.mp3	Кээ бир аймактарда мектептер, ооруканалар курулбай калган.
common_voice_ky_17440559.mp3	Бул нерсени мындан ары эмне кылышаарын айтуу кыйын.
common_voice_ky_17440560.mp3	Барган жеримде жаш фермерлерге өз билгенимди бөлүшүп кайтам.
common_voice_ky_17440561.mp3	Баш каармандар качан өбүшө баштайт деп канча жолу күттүрүштү эле?
common_voice_ky_17440562.mp3	Анын оюнча, өзүнө каршы козголгон иш саясий мүнөзгө ээ.
common_voice_ky_17440564.mp3	Алар автоунаалардын ылдамдыгын азайтууну талап кылышкан.
common_voice_ky_17440565.mp3	Ал эми сиз мага орус тилинде жоопберип жатасыз.
common_voice_ky_17440567.mp3	Дүйнөнү маалыматтык чуунун агымында түшүнүү — оор.
common_voice_ky_17440568.mp3	Мындай бактар дайыма жер кыртышы менен кошо тигилет.
common_voice_ky_17440569.mp3	Илдет көп күч менен эстутумду алып коёт экен.
common_voice_ky_17440570.mp3	Алардын өлкөсүндө тартип жок, — деген ал.
common_voice_ky_17440571.mp3	Азыр маселенин себеби гана аныкталууда.
common_voice_ky_17440572.mp3	Биз биринчи жолу мүмкүнчүлүгү чектелген адамдарды окутуп жатабыз.
common_voice_ky_17440573.mp3	Бул расмий маалымат, ал тастыкталган, — деп билдирди депутат.
common_voice_ky_17440574.mp3	Түзүүчүсү — Александр Куцевалов.
common_voice_ky_17440575.mp3	Биз Бишкекке жакын жердеги бардык көчөтканаларды текшерип чыктык.
common_voice_ky_17440576.mp3	Биринчи сапардан кийин дагы далай жолу каттадым.
common_voice_ky_17440577.mp3	Бул факты боюнча милиция кылмыш ишин козгоду.
common_voice_ky_17440578.mp3	Бул боюнча сот аягына чыга элек.
common_voice_ky_17440579.mp3	Токтогул ГЭСи акыркы жолу бузулганда үч ай ичинде оңдолгон.
common_voice_ky_17440580.mp3	Кээ бир талапкерлер катыштырылган жок.
common_voice_ky_17440581.mp3	Уюм өлкө бийлигин документти токтоосуз кабыл алууга чакырды.
common_voice_ky_17440582.mp3	Аларда маркетинг, социология жана психология боюнча билими жок.
common_voice_ky_17440583.mp3	Кыргызстан ушундай жерби деп суктанышат.
common_voice_ky_17440584.mp3	Бир долларга эн белги.
common_voice_ky_17440586.mp3	Ошондуктан өкмөт жана банктар биригип, бир пикирге келиши керек.
common_voice_ky_17440587.mp3	Биздин жабдыктар ал жерде орнотулган эмес.
common_voice_ky_17440589.mp3	Ал иш сапаттуубу же жокпу — башка маселе.
common_voice_ky_17440591.mp3	Мекеним Кыргызстан шаардык кеңештин мурдагы курамына кирген эмес.
common_voice_ky_17440592.mp3	Эң жакынкы шылтоо — жаңы жылдык кайрылуу.
common_voice_ky_17440608.mp3	Ушундай жапырт миграция баштан өтөт деп божомолдогонго негиз бар.
common_voice_ky_17440609.mp3	Ошол сүрөттөрдүн ичинде чагылган түшкөн учуру да бар.
common_voice_ky_17440610.mp3	Елена Жылкычыева менен Гүлнара Жоробаева отурумга катышкан эмес.
common_voice_ky_17440611.mp3	Мен президент ыйгарым укуктарынан аша чапкан деп эсептейм.
common_voice_ky_17440612.mp3	Ар дайым өзүңө ишенип аракет кылышың керек.
common_voice_ky_17440628.mp3	Жада калса Маевский айткан нерселер болгон эмес.
common_voice_ky_17440629.mp3	Эки гол киргизген соң бишкектик клуб топтун лидерине айланды.
common_voice_ky_17440631.mp3	Мэрди кантип кызматынан бошотсо болот?
common_voice_ky_17440632.mp3	Акырындан айыл болуп жашоочулар толукталганда мектеп курулат.
common_voice_ky_17440643.mp3	Ошентип баланын келечегин жок кылып жатышат.
common_voice_ky_17440644.mp3	Бирок анда цехти курушкан эмес.
common_voice_ky_17440645.mp3	Изденүүгө жардам берет дейт ал.
common_voice_ky_17440646.mp3	Орусия сахнасына көрсөтүүдөн уялбай турган топтор.
common_voice_ky_17440647.mp3	Чынында Атамбаевдин коюу көлөкөсүнөн кайда качмак эле?
common_voice_ky_17440653.mp3	Мен Акаевдин жалпы үйүн жок кылам.
common_voice_ky_17440656.mp3	Биз муну ушул бойдон калтырып койбой, дагы күчөтүшүбүз керек.
common_voice_ky_17440663.mp3	Оорусунан улам Сальвадор репетицияларга катыша алган эмес.
common_voice_ky_17440664.mp3	Кызы Өзгөндө студент болчу, апасын узатканы бул жакка келген экен.
common_voice_ky_17440665.mp3	Биз аларга фуфайке кийгизип кое албайбыз.
common_voice_ky_17440666.mp3	Ушундай тарабы да каралса, жакшы болмок.
common_voice_ky_17440667.mp3	АКШ долларына көбөйтүүгө айыптады.
common_voice_ky_17440673.mp3	МККнын серверлери ондогон сайттарды камтыйт.
common_voice_ky_17440674.mp3	Кош бойлуу аялды аборт кылдыр дегидей мен анын күйөөсү белем?
common_voice_ky_17440675.mp3	Алар мага тийбей турганын, жардам бергиси келгенин айтышты.
common_voice_ky_17440676.mp3	Каза болгон аял өз ымыркайын өлтүрүүгө шектелип жаткан.
common_voice_ky_17440688.mp3	Мамлекетке дагы, айыл өкмөткө дагы.
common_voice_ky_17440690.mp3	Мен мурунку президенттен кол тийбестикти алуу боюнча сунуш бергем.
common_voice_ky_17440691.mp3	Балам кыргыз болушун каалайм.
common_voice_ky_17440692.mp3	Ал эрежелерге ылайык, айыптар дээрлик алты эсеге жогорулайт.
common_voice_ky_17440693.mp3	Музыкант Токмокто жерге берилет.
common_voice_ky_17440694.mp3	Ал клиникада кыргыздар дагы, өзбектер дагы дарыланышат.
common_voice_ky_17440696.mp3	Мушташка жеткирбей эле сүйлөшүп, баарын чечишип алганбыз.
common_voice_ky_17440697.mp3	Баатыр көңүл коштук кылып койбогон учур — абдан жүрөктү жылытат.
